Trade_Filename,Profit_Count,Loss_Count,Profit_Count_wrt_Limit,Loss_Count_wrt_Limit,Total_PNL,Total_Product_Count
summary.20200505,1,6,2,5,-23769,7
trades.20200504.123804,0,4,0,4,-28805,4
trades.20200504.123805,0,2,1,1,-9060,2
trades.20200504.123806,0,1,0,1,-5400,1
trades.20200504.123807,0,0,0,0,0,0
trades.20200504.123808,0,1,1,0,-2725,1
summary.20200504,0,8,2,6,-45990,8
trades.20200430.123804,0,2,1,1,-8143,2
trades.20200430.123805,0,0,0,0,0,0
trades.20200430.123806,2,1,2,1,665,3
trades.20200430.123807,0,2,0,2,-9190,2
trades.20200430.123808,0,0,0,0,0,0
summary.20200430,2,5,3,4,-16668,7
trades.20200429.123804,0,2,1,1,-7349,2
trades.20200429.123805,0,1,0,1,-4145,1
trades.20200429.123806,0,0,0,0,0,0
trades.20200429.123808,0,1,0,1,-4015,1
trades.20200429.123901,0,0,0,0,0,0
trades.20200429.1588133003,0,0,0,0,0,0
trades.20200429.123807,0,0,0,0,0,0
summary.20200429,0,4,1,3,-15509,4
trades.20200428.123804,0,1,0,1,-4852,1
trades.20200428.123805,0,2,0,2,-7667,2
trades.20200428.123806,0,2,1,1,-5341,2
trades.20200428.123807,0,0,0,0,0,0
trades.20200428.123808,0,3,1,2,-8210,3
trades.20200428.123901,0,0,0,0,0,0
summary.20200428,0,8,2,6,-26070,8
Overall_Summary,Profit_Count,Loss_Count,Profit_Count_wrt_Limit,Avg_Profit_wrt_Limit,Loss_Count_wrt_Limit,Avg_Loss_wrt_Limit,Total_PNL,Total_Product_Count
overall_summary,76,968,405,-958,639,-4937,-3543132,1044
