Date Time,,,,Event,,Survey,Actual,Prior,Revised,Relevance,Ticker
02/25/2014 09:00,US,214),,S&P/CS Composite-20 YoY,Dec,--,--,--,--,46.9027,SPCS20Y% Index
02/25/2014 09:00,US,215),,S&P/CaseShiller Home Price Index NSA,Dec,--,--,--,--,53.9823,SPCS20 Index
02/25/2014 09:00,US,216),,S&P/Case-Shiller US HPI NSA,4Q,--,--,150.92,--,26.5487,SPCSUSA Index
02/25/2014 09:00,US,217),,S&P/Case-Shiller US HPI YoY,4Q,--,--,11.18%,--,27.4336,SPCSUSAY Index
02/25/2014 10:00,US,218),,Consumer Confidence Index,Feb,--,--,--,--,95.5752,CONCCONF Index
02/25/2014 10:00,US,219),,Richmond Fed Manufact. Index,Feb,--,--,--,--,69.0265,RCHSINDX Index
02/26/2014 07:00,US,220),,MBA Mortgage Applications,21-Feb,--,--,--,--,92.3077,MBAVCHNG Index
02/26/2014 10:00,US,221),,New Home Sales MoM,Jan,--,--,--,--,47.7876,NHSLCHNG Index
02/26/2014 10:00,US,222),,New Home Sales,Jan,--,--,--,--,90.2655,NHSLTOT Index
02/27/2014 08:30,US,223),,Durable Goods Orders,Jan,--,--,--,--,91.1504,DGNOCHNG Index
02/27/2014 08:30,US,224),,Durables Ex Transportation,Jan,--,--,--,--,72.9204,DGNOXTCH Index
02/27/2014 08:30,US,225),,Cap Goods Orders Nondef Ex Air,Jan,--,--,--,--,56.6372,CGNOXAI% Index
02/27/2014 08:30,US,226),,Initial Jobless Claims,22-Feb,--,--,--,--,98.2301,INJCJC Index
02/27/2014 08:30,US,227),,Cap Goods Ship Nondef Ex Air,Jan,--,--,--,--,55.7522,CGSHXAI% Index
02/27/2014 08:30,US,228),,Continuing Claims,15-Feb,--,--,--,--,68.7611,INJCSP Index
02/27/2014 09:45,US,229),,Bloomberg Consumer Comfort,23-Feb,--,--,--,--,63.7168,COMFCOMF Index
02/27/2014 11:00,US,230),,Kansas City Fed Manf. Activity,Feb,--,--,--,--,11.5044,KCLSSACI Index
02/28/2014 08:30,US,231),,GDP Annualized QoQ,4Q S,--,--,--,--,96.4602,GDP CQOQ Index
02/28/2014 08:30,US,232),,GDP Price Index,4Q S,--,--,--,--,77.1681,GDP PIQQ Index
02/28/2014 08:30,US,233),,Core PCE QoQ,4Q S,--,--,--,--,67.5221,GDPCPCEC Index
02/28/2014 08:30,US,234),,Personal Consumption,4Q S,--,--,--,--,67.5221,GDPCTOT% Index
02/28/2014 09:00,US,235),,ISM Milwaukee,Feb,--,--,--,--,30.0885,MAPMINDX Index
02/28/2014 09:45,US,236),,Chicago Purchasing Manager,Feb,--,--,--,--,79.646,CHPMINDX Index
02/28/2014 09:55,US,237),,Univ. of Michigan Confidence,Feb F,--,--,--,--,92.9204,CONSSENT Index
02/28/2014 10:00,US,238),,Pending Home Sales MoM,Jan,--,--,--,--,75.2212,USPHTMOM Index
02/28/2014 10:00,US,239),,Pending Home Sales YoY,Jan,--,--,--,--,23.8938,USPHTYOY Index
03/03/2014 08:30,US,240),,Personal Income,Jan,--,--,--,--,84.9558,PITLCHNG Index
03/03/2014 08:30,US,241),,Personal Spending,Jan,--,--,--,--,84.9558,PCE CRCH Index
03/03/2014 08:30,US,242),,PCE Deflator MoM,Jan,--,--,--,--,7.07965,PCE DEFM Index
03/03/2014 08:30,US,243),,PCE Deflator YoY,Jan,--,--,--,--,34.5133,PCE DEFY Index
03/03/2014 08:30,US,244),,PCE Core MoM,Jan,--,--,--,--,59.469,PCE CMOM Index
03/03/2014 08:30,US,245),,PCE Core YoY,Jan,--,--,--,--,37.1681,PCE CYOY Index
03/03/2014 08:58,US,246),,Markit US PMI Final,Feb,--,--,--,--,7.9646,ECONMUSF Index
03/03/2014 10:00,US,247),,ISM Manufacturing,Feb,--,--,--,--,94.6903,NAPMPMI Index
03/03/2014 10:00,US,248),,ISM Prices Paid,Feb,--,--,--,--,69.9115,NAPMPRIC Index
03/03/2014 10:00,US,249),,Construction Spending MoM,Jan,--,--,--,--,77.8761,CNSTTMOM Index
03/03/2014,US,250),,Domestic Vehicle Sales,Feb,--,--,--,--,33.6283,SAARDTOT Index
03/03/2014,US,251),,Total Vehicle Sales,Feb,--,--,--,--,40.708,SAARTOTL Index
03/04/2014 09:45,US,252),,ISM New York,Feb,--,--,--,--,10.6195,NYPMCURR Index
03/04/2014 10:00,US,253),,IBD/TIPP Economic Optimism,Mar,--,--,--,--,15.0442,ECONUSIB Index
03/04/2014 03/10,US,254),,Household Change in Net Worth,4Q,--,--,$1922B,--,5.30973,NWORCHNG Index
03/05/2014 07:00,US,255),,MBA Mortgage Applications,28-Feb,--,--,--,--,92.3077,MBAVCHNG Index
03/05/2014 08:15,US,256),,ADP Employment Change,Feb,--,--,--,--,80.531,ADP CHNG Index
03/05/2014 10:00,US,257),,ISM Non-Manf. Composite,Feb,--,--,--,--,73.4513,NAPMNMI Index
03/05/2014 14:00,US,258),,U.S. Federal Reserve Releases Beige Book Report,,,,,,0,
03/06/2014 07:30,US,259),,Challenger Job Cuts YoY,Feb,--,--,--,--,32.7434,CHALYOY% Index
03/06/2014 07:30,US,260),,RBC Consumer Outlook Index,Mar,--,--,--,--,13.2743,ICSHNATL Index
03/06/2014 08:30,US,261),,Unit Labor Costs,4Q F,--,--,--,--,31.8584,COSTNFR% Index
03/06/2014 08:30,US,262),,Nonfarm Productivity,4Q F,--,--,--,--,38.9381,PRODNFR% Index
03/06/2014 08:30,US,263),,Initial Jobless Claims,1-Mar,--,--,--,--,98.2301,INJCJC Index
03/06/2014 08:30,US,264),,Continuing Claims,22-Feb,--,--,--,--,68.7611,INJCSP Index
03/06/2014 09:45,US,265),,Bloomberg Consumer Comfort,2-Mar,--,--,--,--,63.7168,COMFCOMF Index
03/06/2014 10:00,US,266),,Factory Orders,Jan,--,--,--,--,84.0708,TMNOCHNG Index
03/07/2014 08:30,US,267),,Two-Month Payroll Net Revision,Feb,--,--,--,--,4.42478,ECONGECC Index
03/07/2014 08:30,US,268),,Change in Nonfarm Payrolls,Feb,--,--,--,--,99.115,NFP TCH Index
03/07/2014 08:30,US,269),,Change in Private Payrolls,Feb,--,--,--,--,23.0088,NFP PCH Index
03/07/2014 08:30,US,270),,Change in Manufact. Payrolls,Feb,--,--,--,--,69.3805,USMMMNCH Index
03/07/2014 08:30,US,271),,Unemployment Rate,Feb,--,--,--,--,89.2035,USURTOT Index
03/07/2014 08:30,US,272),,Average Hourly Earnings MoM,Feb,--,--,--,--,19.469,AHE MOM% Index
03/07/2014 08:30,US,273),,Average Hourly Earnings YoY,Feb,--,--,--,--,17.6991,AHE YOY% Index
03/07/2014 08:30,US,274),,Average Weekly Hours All Employees,Feb,--,--,--,--,18.5841,AWH TOTL Index
03/07/2014 08:30,US,275),,Change in Household Employment,Feb,--,--,--,--,14.1593,USEMNCHG Index
03/07/2014 08:30,US,276),,Underemployment Rate,Feb,--,--,--,--,12.3894,USUDMAER Index
03/07/2014 08:30,US,277),,Trade Balance,Jan,--,--,--,--,82.3009,USTBTOT Index
03/07/2014 15:00,US,278),,Consumer Credit,Jan,--,--,--,--,39.823,CICRTOT Index
03/07/2014 15:00,US,279),,Labor Force Participation Rate,Feb,--,--,--,--,0.884956,PRUSTOT Index
03/11/2014 07:30,US,280),,NFIB Small Business Optimism,Feb,--,--,--,--,58.4071,SBOITOTL Index
03/11/2014 10:00,US,281),,Wholesale Trade Sales MoM,Jan,--,--,--,--,2.65487,MWSLCHNG Index
03/11/2014 10:00,US,282),,JOLTs Job Openings,Jan,--,--,--,--,15.9292,JOLTTOTL Index
03/11/2014 10:00,US,283),,Wholesale Inventories MoM,Jan,--,--,--,--,78.7611,MWINCHNG Index
03/12/2014 07:00,US,284),,MBA Mortgage Applications,7-Mar,--,--,--,--,92.3077,MBAVCHNG Index
03/12/2014 14:00,US,285),,Monthly Budget Statement,Feb,--,--,--,--,74.3363,FDDSSD Index
03/13/2014 08:30,US,286),,Retail Sales Advance MoM,Feb,--,--,--,--,89.3805,RSTAMOM Index
